logg_cms2 Teff Z_sun xi aLSM bLSM aPCM bPCM chi2 Mod 
5 9500 -5 2 0.1731 0.2384 0.196 0.2089 0.0893 A 
2 9750 -5 2 0.1609 0.2891 0.1924 0.2488 0.1306 A 
2.5 9750 -5 2 0.1548 0.272 0.1841 0.2346 0.121 A 
3 9750 -5 2 0.1554 0.258 0.1826 0.2232 0.1107 A 
3.5 9750 -5 2 0.1575 0.2494 0.1832 0.2164 0.1028 A 
4 9750 -5 2 0.1598 0.2444 0.1847 0.2124 0.0983 A 
4.5 9750 -5 2 0.1609 0.2425 0.1852 0.2114 0.0956 A 
5 9750 -5 2 0.1632 0.2402 0.1869 0.2098 0.0933 A 
2 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
2.5 -5       A  
